자료ID,플랫폼,정리제목,제작자,원본URL,원래목록,활용주제,이전확인수준,기존요약,이번확인주장,이번선별검토,선별인사이트,적용조건,내경험질문,상세정리
eAIqY3BNUwc,YouTube 영상,"많은 영재들도 결국 ""다 망하더군"" | 트럼프",민팍의 마음너머,https://www.youtube.com/watch?v=eAIqY3BNUwc,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,트럼프는 성공의 핵심이 뛰어난 재능보다 비전을 향한 끈기와 절대 포기하지 않는 태도에 있다고 강조합니다. 비판에 굴하지 않고 자신이 사랑하는 일을 끝까지 밀고 나가는 사람만이 세상을 변화시킬 수 있다고 조언합니다.,,없음,,,,sources/youtube/01-growth.md#eAIqY3BNUwc
gmrs8UxAZwo,YouTube 영상,성공한 엘리트 중 상위 10%는 '이것'이 달랐다,작심만일 : 성공 마인드 동반자,https://www.youtube.com/watch?v=gmrs8UxAZwo,성장을 위한,학습·생각·글쓰기 / 제품·창업·AI / 실행·지속·회복,자막 기반 요약,"성공한 엘리트들은 해야 할 일뿐만 아니라 하지 말아야 할 목록을 명확히 관리하며, 특히 아침 첫 한 시간을 스마트폰 없이 보냅니다. 이는 디지털 자극으로부터 뇌를 보호하고 집중력을 유지하여 하루의 주도권을 잡기 위한 핵심 전략입니다.",,없음,,,,sources/youtube/01-growth.md#gmrs8UxAZwo
I5oTw7AJ1Rk,YouTube 영상,당신을 엘리트로 만들 단 한 가지의 '성공' 습관,작심만일 : 성공 마인드 동반자,https://www.youtube.com/watch?v=I5oTw7AJ1Rk,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"글쓰기는 생각을 정교화하는 과정이며, 이를 통해 자신의 목소리를 찾고 세상을 설득하는 강력한 무기를 갖출 수 있습니다. 매일 읽고 쓰는 습관으로 논리적 사고력을 기르는 것이 성공을 위한 가장 실용적인 방법입니다.","피터슨은 글쓰기를 형식화된 사고로 설명하며, 관심을 끄는 문제를 정하고 관련 자료를 읽은 뒤 자료 사이의 모순을 정리해 논증을 구성하라고 권한다. 후반에는 평가자가 원하는 답에 맞추느라 자기 생각을 왜곡하지 말라고 말한다.",자막·캡션 구간 직접 대조,"저장 영상들을 같은 주제별로 나열하는 데서 한 걸음 더 나아가, 지금 실제로 답이 필요한 질문 하나에 서로 다른 자료를 배치하면 자신의 글이 시작된다. 초안은 자료의 핵심 세 가지보다 ‘나는 무엇이 궁금하며 무엇을 잠정적으로 믿는가’를 먼저 적는다. 적용 예: 영상 수집이 많아졌는데 왜 다음 행동은 정해지지 않는가.",이는 화자의 글쓰기 철학이다. 모든 글이 문제 해결형일 필요는 없다. 시·기행·관찰 에세이까지 논증 양식으로 강제하지 않는다. 수십 번 고쳐 쓰거나 하루 몇 시간을 써야 성공한다는 처방으로 일반화하지 않는다.,"내가 이 레퍼런스를 저장하게 만든 질문은 무엇이었고, 지금까지 읽은 자료 중 서로 말이 맞지 않는 두 조언은 무엇인가?",sources/youtube/01-growth.md#I5oTw7AJ1Rk
z7r0DIjRGd4,YouTube 영상,[밥 로스] 듣고 있으면 절로 힐링되는 밥 아저씨의 인생 명언들 (한영 자막),Project스노우볼,https://www.youtube.com/watch?v=z7r0DIjRGd4,성장을 위한,실행·지속·회복,자막 기반 요약,"밥 로스는 그림에 실수는 없으며 단지 '즐거운 사고'가 있을 뿐이라고 강조하며, 완벽함보다 과정의 즐거움을 찾으라고 조언합니다. 캔버스 위에서 누리는 절대적인 자유와 행복이 삶을 긍정적으로 변화시키는 원동력이 됨을 보여줍니다.",,없음,,,,sources/youtube/01-growth.md#z7r0DIjRGd4
Zixr-ttMfRc,YouTube 영상,성공하는 사람은 반드시 이 원칙을 지키며 말한다 (원본 조회수: 1520만회),작심만일 : 성공 마인드 동반자,https://www.youtube.com/watch?v=Zixr-ttMfRc,성장을 위한,고객·설득·브랜드 / 가치·관계·삶,자막 기반 요약,"성공하는 리더와 기업은 '무엇을'이 아닌 '왜'라는 본질적인 목적에서 시작하여 사람들의 마음을 움직입니다. 골든 서클 원칙에 따라 안에서 밖으로 소통할 때, 뇌의 의사결정 부위를 자극하여 강력한 행동 변화를 이끌어낼 수 있습니다.",,없음,,,,sources/youtube/01-growth.md#Zixr-ttMfRc
BSGNPHxonKI,YouTube 영상,인생을 바꾸는 아침습관ㅣ동기부여ㅣ한영 자막,잭스파이어 Jackspire,https://www.youtube.com/watch?v=BSGNPHxonKI,성장을 위한,실행·지속·회복,자막 기반 요약,거울 속 자신에게 하이파이브를 하는 간단한 아침 습관이 자기 비판을 멈추고 긍정적인 자아 파트너십을 형성하게 돕습니다. 이는 뇌과학적 원리와 긍정적 연합을 활용하여 하루의 생산성과 자신감을 높이는 강력한 동기부여 방법입니다.,,없음,,,,sources/youtube/01-growth.md#BSGNPHxonKI
J9bpQxB4iOE,YouTube 영상,데드라인이 없어서 일을 미루기만 하는 당신이 지금 봐야하는 영상,돈공-돈버는공식,https://www.youtube.com/watch?v=J9bpQxB4iOE,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,데드라인이 없는 중요한 일을 미루지 않으려면 실패를 미리 시뮬레이션하는 '사전 검열'과 삶에 대한 강한 주인의식이 필요합니다. 즉각적 보상을 쫓는 본능을 이겨내고 자신의 결정을 경제적 손실이나 주변에 대한 책임감과 연결할 때 비로소 실행력이 생깁니다.,,없음,,,,sources/youtube/01-growth.md#J9bpQxB4iOE
bkJcRq1Pfys,YouTube 영상,우리 모두가 갖고 있는 행복 치트키 - 게리 바이너척,게리 바이너척 Gary Vaynerchuk Korean,https://www.youtube.com/watch?v=bkJcRq1Pfys,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복 / 가치·관계·삶,자막 기반 요약,게리 바이너척은 인간으로 태어난 것 자체가 희박한 확률의 기적임을 강조하며 관점의 전환을 촉구합니다. 사소한 불평 대신 이미 가진 것에 감사하는 태도가 진정한 행복과 성공의 열쇠라고 조언합니다.,,없음,,,,sources/youtube/01-growth.md#bkJcRq1Pfys
Uuq4OME-7-M,YouTube 영상,인생을 성공으로 이끄는 ‘5초 법칙’ㅣ멜 로빈스 동기부여ㅣ한영 자막,잭스파이어 Jackspire,https://www.youtube.com/watch?v=Uuq4OME-7-M,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,멜 로빈스는 뇌의 방어 기제를 극복하고 행동을 이끌어내는 '5초 법칙'을 설명합니다. 무언가를 해야 할 때 5초 안에 숫자를 거꾸로 세고 즉시 움직이면 망설임을 끊고 실행력을 높일 수 있습니다.,,없음,,,,sources/youtube/01-growth.md#Uuq4OME-7-M
3EtsD-ZMtOw,YouTube 영상,50조 부자의 인터뷰 - 성공적인 인생과 비즈니스를 위한 5가지 조언 | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=3EtsD-ZMtOw,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"성공한 사람들은 목표를 위해 기꺼이 대가를 지불하며, 자신의 한계를 규정하지 않고 거대한 꿈을 시각화합니다. 후회 없는 삶을 위해 높은 수준의 사람들과 어울리고, 자신의 사명을 바탕으로 가치를 창출하는 태도가 중요하다고 강조합니다.",,없음,,,,sources/youtube/01-growth.md#3EtsD-ZMtOw
nFBoJ5SKe2s,YouTube 영상,두려움에서 나오세요 - 당신을 다시 깨우는 영상 | 댄 페냐 | 한영자막,제임스비디오 James video,https://www.youtube.com/watch?v=nFBoJ5SKe2s,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,댄 페냐는 두려움 때문에 기회를 놓치고 준비만 하며 시간을 낭비하는 태도를 강하게 비판합니다. 실패에 대한 공포를 극복하고 즉시 행동에 나설 때 비로소 한계 없는 성취와 부를 거둘 수 있다고 강조합니다.,,없음,,,,sources/youtube/01-growth.md#nFBoJ5SKe2s
7X-BOvSaQBw,YouTube 영상,당신의 인생을 180도 바꿀 수 있는 30분 마인드셋 | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=7X-BOvSaQBw,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,부자가 되기 위해서는 자산과 부채의 차이를 명확히 알고 학교에서 가르치지 않는 금융 지식을 스스로 학습해야 합니다. 리스크를 두려워하기보다 타인의 문제를 해결하는 가치 창출에 집중할 때 진정한 경제적 자유를 얻을 수 있습니다.,,없음,,,,sources/youtube/01-growth.md#7X-BOvSaQBw
dGJya2dpjko,YouTube 영상,[닐 디그래스 타이슨] 아는 것과 생각해 내는 힘의 차이 (한영 자막),Project스노우볼,https://www.youtube.com/watch?v=dGJya2dpjko,성장을 위한,학습·생각·글쓰기,자막 기반 요약,"닐 디그래스 타이슨은 단순히 정답을 외우는 것보다 스스로 생각하는 법을 익히는 것이 중요하다고 강조합니다. 그는 졸업을 배움의 끝이 아닌 시작으로 여기며, 기존의 선택지에 의존하지 않는 독창적인 사고력을 기를 것을 권장합니다.",,없음,,,,sources/youtube/01-growth.md#dGJya2dpjko
NyA5y_0RDeU,YouTube 영상,모든 남자들을 위한 41가지 신조,민팍의 마음너머,https://www.youtube.com/watch?v=NyA5y_0RDeU,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"남성이 능력 있고 유덕한 존재로 거듭나기 위해 지켜야 할 41가지의 신성한 의무와 신조를 소개합니다. 화자는 가족 보호, 자기 절제, 형제애를 통해 자신과 주변에 긍정적인 영향을 미치는 남성적 탁월함을 강조합니다.",,없음,,,,sources/youtube/01-growth.md#NyA5y_0RDeU
v14CZir0ufs,YouTube 영상,"2,400만 유튜버가 말하는 꿈처럼 사는 법",민팍의 마음너머,https://www.youtube.com/watch?v=v14CZir0ufs,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,화자는 자신의 목표를 말로 내뱉고 기록하는 시각화와 확언의 힘이 인생을 바꾼다고 강조합니다. 불가능해 보이던 나이키 모델 발탁 등의 꿈을 구체적인 기록과 실행을 통해 현실로 만들어낸 경험을 공유합니다.,,없음,,,,sources/youtube/01-growth.md#v14CZir0ufs
Z4pXqX5Dsrc,YouTube 영상,당신이 원하는 것은 다 얻을 수 있다. 하지만..?,민팍의 마음너머,https://www.youtube.com/watch?v=Z4pXqX5Dsrc,성장을 위한,학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"인생에서 원하는 대부분을 얻을 수 있지만, 예상보다 1~2년 혹은 그 이상의 긴 시간이 필요하며 인내심이 핵심입니다. 진정한 부는 단기간에 이루어지지 않으므로, 타인의 실수를 통해 배우고 멘토를 직접 관찰하며 기초를 다져야 합니다.",,없음,,,,sources/youtube/01-growth.md#Z4pXqX5Dsrc
C87fr5Q12aY,YouTube 영상,"4000만 열광한 공부법 “적게 공부하고, 영리하게 공부하라“",잭스파이어 Jackspire,https://www.youtube.com/watch?v=C87fr5Q12aY,"성장을 위한 / 학습, 배움",학습·생각·글쓰기 / 별도 확인·배경,자막 기반 요약,효율적인 공부는 단순히 시간을 많이 투자하는 것이 아니라 뇌의 집중력을 유지하고 개념을 깊이 이해하는 전략에 달려 있습니다. 30분 공부 후 짧은 휴식을 취하고 충분한 수면을 통해 학습 내용을 장기 기억으로 전환하는 것이 핵심입니다.,,없음,,,,sources/youtube/01-growth.md#C87fr5Q12aY
iB2AFvw8sBw,YouTube 영상,"드디어 공개, 조던피터슨 공부법",민팍의 마음너머,https://www.youtube.com/watch?v=iB2AFvw8sBw,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,조던 피터슨은 학기 초에 전체 일정을 계획하고 전략적으로 시간을 관리하는 것이 학업 성취에 필수적이라고 강조합니다. 특히 벼락치기 대신 분산 학습과 책을 덮고 내용을 요약하는 인출 연습을 통해 기억력을 극대화할 것을 권장합니다.,,없음,,,,sources/youtube/01-growth.md#iB2AFvw8sBw
rKhI2xoQH8U,YouTube 영상,부자들만 아는 당신도 모르게 노예가 된 이유 | 동기부여,민팍의 마음너머,https://www.youtube.com/watch?v=rKhI2xoQH8U,성장을 위한,학습·생각·글쓰기 / 고객·설득·브랜드,자막 기반 요약,현대 교육은 지식을 조직하고 활용하는 법 대신 순응하는 노동자를 양성하는 데 머물러 있습니다. 진정한 교육은 자신의 정신적 능력을 개발하여 타인의 권리를 침해하지 않고 원하는 삶을 쟁취하는 법을 배우는 것입니다.,,없음,,,,sources/youtube/01-growth.md#rKhI2xoQH8U
ph4wfrlhwlQ,YouTube 영상,성공을 위해 반드시 마스터해야 할 7가지 요소 l 브라이언 트레이시 Brian Tracy,동기부여학과,https://www.youtube.com/watch?v=ph4wfrlhwlQ,성장을 위한,학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"브라이언 트레이시는 성공을 위해 명확한 목표 설정과 핵심 능력 배양, 그리고 끝까지 완수하는 집중력이 필수적이라고 강조합니다. 지속적인 학습과 포기하지 않는 용기를 통해 누구나 자신의 분야에서 상위 10%의 성공을 거둘 수 있다고 조언합니다.",,없음,,,,sources/youtube/01-growth.md#ph4wfrlhwlQ
RKdLHF9sj3w,YouTube 영상,종이 한 장으로 400억 부자가 되는 법 | 브라이언 트레이시,민팍의 마음너머,https://www.youtube.com/watch?v=RKdLHF9sj3w,성장을 위한,학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,브라이언 트레이시는 성공을 위해 명확한 목표 설정과 그에 따른 대가를 치를 결단력이 필수적이라고 강조합니다. 종이 한 장에 10가지 목표를 적고 가장 중요한 하나에 집중하여 매일 실천하는 것이 부의 비결입니다.,,없음,,,,sources/youtube/01-growth.md#RKdLHF9sj3w
hehPTOmn6vE,YouTube 영상,해외에서 난리난 공부법 (드디어 번역),민팍의 마음너머,https://www.youtube.com/watch?v=hehPTOmn6vE,"성장을 위한 / 학습, 배움 / 인생수업, 위기의 때",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,효율적인 공부를 위해서는 25~30분 집중 후 짧은 휴식을 취하며 뇌를 재충전하는 것이 필수적입니다. 단순히 읽는 것에 그치지 않고 자신의 언어로 설명하거나 타인을 가르치는 능동적 학습법을 실천해야 학습 내용이 장기 기억으로 전환됩니다.,,없음,,,,sources/youtube/01-growth.md#hehPTOmn6vE
Ki5IMN632KU,YouTube 영상,가난의 자장을 만드는 '이것'부터 비우면 인생이 확실히 달라집니다.,KELLY CHOI,https://www.youtube.com/watch?v=Ki5IMN632KU,성장을 위한,실행·지속·회복,자막 기반 요약,"주변 환경의 정돈 상태가 개인의 에너지와 부의 흐름을 결정하며, 청소는 단순한 가사 노동이 아닌 운명을 바꾸는 강력한 힘입니다. 어지러운 공간을 비우고 정돈함으로써 내면의 질서를 회복하고 성공을 위한 플러스 자장을 형성할 수 있습니다.",,없음,,,,sources/youtube/01-growth.md#Ki5IMN632KU
zqonx8Ea-S4,YouTube 영상,꼭 알아야 할 긍정보다 70배 강력한 힘 | 트레버 모아와드,민팍의 마음너머,https://www.youtube.com/watch?v=zqonx8Ea-S4,성장을 위한,실행·지속·회복 / 가치·관계·삶,영상 직접 분석,부정적인 생각보다 이를 밖으로 내뱉는 말이 훨씬 강력한 파괴력을 가집니다. 성공을 위해서는 긍정적인 확언보다 부정적인 말을 멈추고 행동에 집중하는 것이 중요합니다.,,없음,,,,sources/youtube/01-growth.md#zqonx8Ea-S4
sfxHiQebtH4,YouTube 영상,"""뇌가 싹 맑아집니다."" 스웨덴인이 유독 똑똑한 이유 (김익한 교수 3부)",지식인사이드,https://www.youtube.com/watch?v=sfxHiQebtH4,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"김익한 교수는 훑어보기, 토론, 정독으로 구성된 스웨덴식 독서법과 뇌의 인지 능력을 극대화하는 기술을 소개합니다. 눈 운동 독서와 생각의 이음을 통해 읽기 속도를 높이고, 기억에 의존한 메모로 지식을 체득할 것을 권장합니다.",,없음,,,,sources/youtube/01-growth.md#sfxHiQebtH4
1mSTAGRCtXE,YouTube 영상,젠틀몬스터 김한국 대표 강연,opencore AI,https://www.youtube.com/watch?v=1mSTAGRCtXE,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"젠틀몬스터 김한국 대표는 평범한 사람이 성공하기 위해 자신만의 '설렘'을 찾고 극한의 몰입을 실천해야 한다고 강조합니다. 그는 독서와 직장 생활에서의 처절한 노력을 바탕으로, 남과 다른 차별성이 결국 경제적 성공의 선순환을 만든다는 철학을 전합니다.",,없음,,,,sources/youtube/01-growth.md#1mSTAGRCtXE
RnrZJOHY9tY,YouTube 영상,시대가 변해도 절대 바뀌지 않는 5가지 핵심능력  | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=RnrZJOHY9tY,"성장을 위한 / 인생수업, 위기의 때",학습·생각·글쓰기 / 제품·창업·AI / 실행·지속·회복,자막 기반 요약,"디지털 기술이 급변하는 시대에도 인간의 탁월함은 기술적 숙련도가 아닌 내면의 고유한 역량에서 비롯됩니다. 우선순위 설정, 끈기, 자기성찰, 유연성, 아이디어 결합이라는 다섯 가지 핵심 능력을 갖출 때 대체 불가능한 경쟁력을 확보할 수 있습니다.",,없음,,,,sources/youtube/01-growth.md#RnrZJOHY9tY
HqvqIknMFKI,YouTube 영상,"90년간의 깨달음, 성공비밀 5가지 - 경영의신 이나모리 가즈오, 왜 리더인가? [도서 협찬] | 동기부여학과",동기부여학과,https://www.youtube.com/watch?v=HqvqIknMFKI,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,이나모리 가즈오는 성공의 본질이 외적인 성격이 아닌 뿌리 깊은 마음가짐과 이타적인 동기에 있다고 강조합니다. 그는 조직의 철학을 공유하고 고난을 긍정적으로 수용하며 행운 앞에서는 겸손할 때 지속 가능한 성장이 가능하다고 조언합니다.,,없음,,,,sources/youtube/01-growth.md#HqvqIknMFKI
UblIF5Utawg,YouTube 영상,백수에서 월 1억을 벌기까지 (29살),민팍의 마음너머,https://www.youtube.com/watch?v=UblIF5Utawg,"성장을 위한 / 인생수업, 위기의 때",고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"전교 꼴찌 수준의 성적과 빚더미라는 역경을 딛고, 자신의 열정을 담은 콘텐츠로 월 1억 원의 수익을 달성한 민팍의 성장기를 다룹니다. 돈을 쫓는 대신 내면의 철학을 분출할 수 있는 분야에 몰입할 때 비로소 폭발적인 성취와 경제적 자유가 찾아온다고 강조합니다.",,없음,,,,sources/youtube/01-growth.md#UblIF5Utawg
7WwS0OET-HQ,YouTube 영상,"게리 바이너척, ""개소리를 다 무시하는 것이 최고의 성공 요인"" |  7가지 성공비밀",민팍의 마음너머,https://www.youtube.com/watch?v=7WwS0OET-HQ,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,게리 바이너척은 타인의 판단에 흔들리지 않는 단단한 자아와 즉각적인 실행력이 성공과 행복의 핵심이라고 강조합니다. 그는 고객의 니즈를 경청하고 진심 어린 가치를 제공하는 것이 비즈니스 성장의 본질임을 자신의 경험을 통해 역설합니다.,,없음,,,,sources/youtube/01-growth.md#7WwS0OET-HQ
