재생목록,순서,영상ID,제목,채널,원본URL,상태,자막확보,자막언어,자동생성,분류,한줄요약,상세정리
성장을 위한,25,v14CZir0ufs,"2,400만 유튜버가 말하는 꿈처럼 사는 법",민팍의 마음너머,https://www.youtube.com/watch?v=v14CZir0ufs,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록, 기타",화자는 자신의 목표를 말로 내뱉고 기록하는 시각화와 확언의 힘이 인생을 바꾼다고 강조합니다.,01-growth.md#v14CZir0ufs
성장을 위한,26,Z4pXqX5Dsrc,당신이 원하는 것은 다 얻을 수 있다. 하지만..?,민팍의 마음너머,https://www.youtube.com/watch?v=Z4pXqX5Dsrc,자막 기반 요약,예,en,자동,"사업·브랜딩, 실행·습관, 학습·기록","인생에서 원하는 대부분을 얻을 수 있지만, 예상보다 1~2년 혹은 그 이상의 긴 시간이 필요하며 인내심이 핵심입니다.",01-growth.md#Z4pXqX5Dsrc
성장을 위한,27,C87fr5Q12aY,"4000만 열광한 공부법 “적게 공부하고, 영리하게 공부하라“",잭스파이어 Jackspire,https://www.youtube.com/watch?v=C87fr5Q12aY,자막 기반 요약,예,en,자동,"학습·기록, 건강",효율적인 공부는 단순히 시간을 많이 투자하는 것이 아니라 뇌의 집중력을 유지하고 개념을 깊이 이해하는 전략에 달려 있습니다.,01-growth.md#C87fr5Q12aY
성장을 위한,28,iB2AFvw8sBw,"드디어 공개, 조던피터슨 공부법",민팍의 마음너머,https://www.youtube.com/watch?v=iB2AFvw8sBw,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록",조던 피터슨은 학기 초에 전체 일정을 계획하고 전략적으로 시간을 관리하는 것이 학업 성취에 필수적이라고 강조합니다.,01-growth.md#iB2AFvw8sBw
성장을 위한,29,rKhI2xoQH8U,부자들만 아는 당신도 모르게 노예가 된 이유 | 동기부여,민팍의 마음너머,https://www.youtube.com/watch?v=rKhI2xoQH8U,자막 기반 요약,예,en,자동,"학습·기록, 사업·브랜딩, 기타",현대 교육은 지식을 조직하고 활용하는 법 대신 순응하는 노동자를 양성하는 데 머물러 있습니다.,01-growth.md#rKhI2xoQH8U
성장을 위한,30,ph4wfrlhwlQ,성공을 위해 반드시 마스터해야 할 7가지 요소 l 브라이언 트레이시 Brian Tracy,동기부여학과,https://www.youtube.com/watch?v=ph4wfrlhwlQ,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록, 사업·브랜딩","브라이언 트레이시는 성공을 위해 명확한 목표 설정과 핵심 능력 배양, 그리고 끝까지 완수하는 집중력이 필수적이라고 강조합니다.",01-growth.md#ph4wfrlhwlQ
성장을 위한,31,RKdLHF9sj3w,종이 한 장으로 400억 부자가 되는 법 | 브라이언 트레이시,민팍의 마음너머,https://www.youtube.com/watch?v=RKdLHF9sj3w,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록, 사업·브랜딩",브라이언 트레이시는 성공을 위해 명확한 목표 설정과 그에 따른 대가를 치를 결단력이 필수적이라고 강조합니다.,01-growth.md#RKdLHF9sj3w
성장을 위한,32,hehPTOmn6vE,해외에서 난리난 공부법 (드디어 번역),민팍의 마음너머,https://www.youtube.com/watch?v=hehPTOmn6vE,자막 기반 요약,예,en,자동,"학습·기록, 실행·습관",효율적인 공부를 위해서는 25~30분 집중 후 짧은 휴식을 취하며 뇌를 재충전하는 것이 필수적입니다.,01-growth.md#hehPTOmn6vE
성장을 위한,33,Ki5IMN632KU,가난의 자장을 만드는 '이것'부터 비우면 인생이 확실히 달라집니다.,KELLY CHOI,https://www.youtube.com/watch?v=Ki5IMN632KU,자막 기반 요약,예,ko,자동,"실행·습관, 회복·감정","주변 환경의 정돈 상태가 개인의 에너지와 부의 흐름을 결정하며, 청소는 단순한 가사 노동이 아닌 운명을 바꾸는 강력한 힘입니다.",01-growth.md#Ki5IMN632KU
성장을 위한,34,zqonx8Ea-S4,꼭 알아야 할 긍정보다 70배 강력한 힘 | 트레버 모아와드,민팍의 마음너머,https://www.youtube.com/watch?v=zqonx8Ea-S4,영상 직접 분석,아니오,확인 안 됨,확인 안 됨,"실행·습관, 회복·감정, 소통·관계",부정적인 생각보다 이를 밖으로 내뱉는 말이 훨씬 강력한 파괴력을 가집니다.,01-growth.md#zqonx8Ea-S4
성장을 위한,35,sfxHiQebtH4,"""뇌가 싹 맑아집니다."" 스웨덴인이 유독 똑똑한 이유 (김익한 교수 3부)",지식인사이드,https://www.youtube.com/watch?v=sfxHiQebtH4,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록","김익한 교수는 훑어보기, 토론, 정독으로 구성된 스웨덴식 독서법과 뇌의 인지 능력을 극대화하는 기술을 소개합니다.",01-growth.md#sfxHiQebtH4
성장을 위한,36,1mSTAGRCtXE,젠틀몬스터 김한국 대표 강연,opencore AI,https://www.youtube.com/watch?v=1mSTAGRCtXE,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 신앙·가치",젠틀몬스터 김한국 대표는 평범한 사람이 성공하기 위해 자신만의 '설렘'을 찾고 극한의 몰입을 실천해야 한다고 강조합니다.,01-growth.md#1mSTAGRCtXE
성장을 위한,37,RnrZJOHY9tY,시대가 변해도 절대 바뀌지 않는 5가지 핵심능력  | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=RnrZJOHY9tY,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록, 도구·AI",디지털 기술이 급변하는 시대에도 인간의 탁월함은 기술적 숙련도가 아닌 내면의 고유한 역량에서 비롯됩니다.,01-growth.md#RnrZJOHY9tY
성장을 위한,38,HqvqIknMFKI,"90년간의 깨달음, 성공비밀 5가지 - 경영의신 이나모리 가즈오, 왜 리더인가? [도서 협찬] | 동기부여학과",동기부여학과,https://www.youtube.com/watch?v=HqvqIknMFKI,자막 기반 요약,예,ko,수동,"사업·브랜딩, 실행·습관, 소통·관계",이나모리 가즈오는 성공의 본질이 외적인 성격이 아닌 뿌리 깊은 마음가짐과 이타적인 동기에 있다고 강조합니다.,01-growth.md#HqvqIknMFKI
성장을 위한,39,UblIF5Utawg,백수에서 월 1억을 벌기까지 (29살),민팍의 마음너머,https://www.youtube.com/watch?v=UblIF5Utawg,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관, 회복·감정","전교 꼴찌 수준의 성적과 빚더미라는 역경을 딛고, 자신의 열정을 담은 콘텐츠로 월 1억 원의 수익을 달성한 민팍의 성장기를 다룹니다.",01-growth.md#UblIF5Utawg
성장을 위한,40,7WwS0OET-HQ,"게리 바이너척, ""개소리를 다 무시하는 것이 최고의 성공 요인"" |  7가지 성공비밀",민팍의 마음너머,https://www.youtube.com/watch?v=7WwS0OET-HQ,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩, 소통·관계, 회복·감정",게리 바이너척은 타인의 판단에 흔들리지 않는 단단한 자아와 즉각적인 실행력이 성공과 행복의 핵심이라고 강조합니다.,01-growth.md#7WwS0OET-HQ
성장을 위한,41,VK9WKcoqMyY,백만장자들의 효율성 증가 4가지 방법,민팍의 마음너머,https://www.youtube.com/watch?v=VK9WKcoqMyY,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩, 소통·관계",생산성을 극대화하기 위해 업무 시작 직후 가장 중요한 일에 집중하고 외부 방해를 완벽히 차단하는 환경을 구축해야 합니다.,01-growth.md#VK9WKcoqMyY
성장을 위한,42,tGXQ5b5yRaM,조던 피터슨 | 당신이 먹을 독을 선택하세요,조던 피터슨 한국 공식 채널,https://www.youtube.com/watch?v=tGXQ5b5yRaM,자막 기반 요약,예,en,확인 안 됨,"실행·습관, 회복·감정, 기타",조던 피터슨은 가치 체계가 없는 사람들이 즉각적인 쾌락에 탐닉하는 이유를 정체성 부재와 책임 회피로 설명합니다.,01-growth.md#tGXQ5b5yRaM
성장을 위한,43,qO1tof4ORs0,"저는 부자들의 ""이것""을 보고 돈을 더 벌기 시작했습니다(前신사임당 주언규)",꿈나무의 100억 부자 챌린지,https://www.youtube.com/watch?v=qO1tof4ORs0,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 학습·기록",주언규 작가는 부자가 되기 위해 한 가지 분야에 몰입하는 시간 확보와 철저한 계획의 중요성을 강조합니다.,01-growth.md#qO1tof4ORs0
성장을 위한,44,9d5GWZyTtXE,"""경이롭다"" 무료 AI 웹사이트 BEST 5",페이퍼로지,https://www.youtube.com/watch?v=9d5GWZyTtXE,자막 기반 요약,예,ko,자동,"도구·AI, 사업·브랜딩, 기타",이 영상은 복잡한 가입 없이 즉시 사용 가능한 유용한 무료 AI 웹사이트 5가지를 소개합니다.,01-growth.md#9d5GWZyTtXE
성장을 위한,45,tkHvxLwLx3M,"[스티브 잡스] A급 인재와 B급, C급 직원의 차이 (한영 자막)",Project스노우볼,https://www.youtube.com/watch?v=tkHvxLwLx3M,자막 기반 요약,예,en,자동,"사업·브랜딩, 소통·관계, 실행·습관",스티브 잡스는 소프트웨어 분야에서 최고와 평균의 성과 차이가 50~100배에 달하기 때문에 타협 없는 인재 채용이 중요하다고 강조합니다.,01-growth.md#tkHvxLwLx3M
성장을 위한,46,eZF3GwAArC0,자수성가한 해외 억만장자 12인에게 직접 듣는 성공의 비결 (한영 자막),Project스노우볼,https://www.youtube.com/watch?v=eZF3GwAArC0,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩, 학습·기록",세계적인 억만장자들은 성공의 핵심 비결로 자신이 진정으로 열정을 느끼는 일을 찾아 끈기 있게 실행할 것을 강조합니다.,01-growth.md#eZF3GwAArC0
성장을 위한,47,oYEvR8OUX28,우리가 몰랐던 트럼프의 따뜻한 성공조언,오너의 그릇,https://www.youtube.com/watch?v=oYEvR8OUX28,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩",도널드 트럼프는 성공을 위해 열정을 느끼는 일을 찾고 그 과정에서 발생하는 '모멘텀'을 유지하는 것이 핵심이라고 강조합니다.,01-growth.md#oYEvR8OUX28
성장을 위한,48,BPAT2nq3_lQ,뇌를 어떻게 성공 머신으로 만들까?,민팍의 마음너머,https://www.youtube.com/watch?v=BPAT2nq3_lQ,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록","인간은 하루 7만 5천 개의 생각 중 91%를 반복하며 살아가므로, 변화를 위해서는 나머지 9%의 가변적 생각을 통제해야 합니다.",01-growth.md#BPAT2nq3_lQ
성장을 위한,49,MhjuZRr5vBY,책 읽으면 성공한다는 말만 믿고 1년 동안 자기계발서 143권을 읽었더니...,타임프리,https://www.youtube.com/watch?v=MhjuZRr5vBY,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록",1년 동안 143권의 자기계발서를 읽었음에도 큰 변화를 얻지 못한 화자는 독서 방법의 오류를 지적합니다.,01-growth.md#MhjuZRr5vBY
성장을 위한,50,uPJiDgcjLd4,내일부터는 없다. 지금 당장 절실하게 시작하라 | 동기부여 영상,커넥트더닷 : Connect the Dots,https://www.youtube.com/watch?v=uPJiDgcjLd4,자막 기반 요약,예,ko,수동,"실행·습관, 신앙·가치",타인이 정한 한계에 굴복하지 말고 자신의 가치를 증명하기 위해 지금 당장 행동해야 합니다.,01-growth.md#uPJiDgcjLd4
성장을 위한,51,c2nFwHDJVio,지금 당장 갖다 버려야 할 미국 하위 50%의 가난한 12가지 생활 습관ㅣ알렉스 홀모지ㅣ동기부여학과,동기부여학과,https://www.youtube.com/watch?v=c2nFwHDJVio,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩",알렉스 홀모지는 부자처럼 보이려는 허례허식을 버리고 시장이 원하는 핵심 가치에 집중할 것을 강조합니다.,01-growth.md#c2nFwHDJVio
성장을 위한,52,8XN63NlWwUA,하루의 시작을 완전히 바꿔 줄 초대형 억만장자 부자 3명에게 듣는 고밀도 인생조언 7가지ㅣ폴 오팔라ㅣ브라이언 스미스ㅣ앤드류 비터비 | 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=8XN63NlWwUA,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관, 소통·관계","킨코스, 어그, 퀄컴의 창립자들은 진정한 성공이 부의 축적을 넘어 직관을 따르는 사업적 본질과 가족과의 유대감에 있다고 강조합니다.",01-growth.md#8XN63NlWwUA
성장을 위한,53,S8255fBMrCQ,알아두면 무조건 성공하는 7가지 부자의 기술ㅣ패드릭 뱃 데이비드(Patrick Bet-David)ㅣ동기부여학과ㅣ부자 마인드 습관 성공 조언,동기부여학과,https://www.youtube.com/watch?v=S8255fBMrCQ,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관, 소통·관계","패트릭 벳 데이비드는 백만장자가 되기 위해 마스터해야 할 설득, 부의 분배, 레버리지 등 7가지 핵심 기술을 제시합니다.",01-growth.md#S8255fBMrCQ
성장을 위한,54,5BX7dfoQY1k,무의식을 활용해 호감 사는 법,EBS,https://www.youtube.com/watch?v=5BX7dfoQY1k,자막 기반 요약,예,ko,자동,"소통·관계, 실행·습관",상대방에게 따뜻한 음료를 건네거나 몸짓을 따라 하는 무의식적 자극을 통해 호감을 얻을 수 있습니다.,01-growth.md#5BX7dfoQY1k
성장을 위한,55,JhUbuiPzyTw,1000억대 부자가 가난을 벗어나기위해 포기해야 했던 루틴 3가지 - 알렉스 홀모지(Alex Hormizi )| 동기부여학과,동기부여학과,https://www.youtube.com/watch?v=JhUbuiPzyTw,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩",알렉스 홀모지는 성공을 위해 새로운 습관을 추가하기보다 불필요한 일을 제거하는 '안티 루틴'을 실천하라고 조언합니다.,01-growth.md#JhUbuiPzyTw
성장을 위한,56,m_Z-ATOg7eM,"""혼자 뿌듯해해요."" 일 못하는 사람들의 '치명적인' 착각 3가지 (드로우앤드류 1부)",지식인사이드,https://www.youtube.com/watch?v=m_Z-ATOg7eM,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 소통·관계","일 못하는 사람들은 실패를 두려워해 책임을 회피하고 지름길만 찾지만, 일 잘하는 사람들은 수많은 실패를 통해 자신만의 오답 노트를 쌓으며 성장합니다.",01-growth.md#m_Z-ATOg7eM
성장을 위한,57,ewlbNkd2ZoE,그동안 제 영상봐주셔서 감사합니다. (S1 E8),드로우앤드류,https://www.youtube.com/watch?v=ewlbNkd2ZoE,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관, 회복·감정",드로우앤드류는 시즌 1을 마무리하며 실버 버튼 획득 소식과 함께 자기계발의 본질은 나만의 목적을 찾는 것이라고 강조합니다.,01-growth.md#ewlbNkd2ZoE
성장을 위한,58,vtyeVfUojz8,가장 빠르게 부의 추월차선으로 올라타는 3가지 습관,드로우앤드류,https://www.youtube.com/watch?v=vtyeVfUojz8,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩",드로앤드류는 목표를 종이에 적고 자신만의 직함을 설정하며 필요한 정보를 지속적으로 수집하는 세 가지 습관을 강조합니다.,01-growth.md#vtyeVfUojz8
성장을 위한,59,1WpafI-HmY4,워렌버핏과의 식사를 대체하는 영상 | 동기부여,성공비밀 by 민팍,https://www.youtube.com/watch?v=1WpafI-HmY4,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩, 소통·관계","워렌 버핏은 진정한 성공을 주변 사람들에게 사랑받는 것으로 정의하며, 자신에 대한 투자가 가장 가치 있는 일임을 강조합니다.",01-growth.md#1WpafI-HmY4
성장을 위한,60,OpxGLFOzBRE,평범한 사람이 12개월 안에 99%보다 앞서 나가는 3 단계,성공한스푼,https://www.youtube.com/watch?v=OpxGLFOzBRE,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록",화자는 12개월 안에 성공하기 위해 원하지 않는 것을 먼저 파악하고 불필요한 자극으로부터 자신을 격리하라고 조언합니다.,01-growth.md#OpxGLFOzBRE
성장을 위한,61,yCxpn6_z3Xk,[*100% 실화] 누구도 믿지 않았던 '흙수저' 출신인 내가 목표를 다 이뤄낸 이유...,터닝포인트 - 위대한 성공의 시작점,https://www.youtube.com/watch?v=yCxpn6_z3Xk,내용 미확보,아니오,확인 안 됨,확인 안 됨,,,01-growth.md#yCxpn6_z3Xk
성장을 위한,62,FN27nl62SVU,부자가 될 20대들이 알아야하는 3가지,민팍의 마음너머,https://www.youtube.com/watch?v=FN27nl62SVU,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩",부자가 되기 위해 20대에는 미래 목표와 연결된 자기 투자를 통해 몸값을 높이고 실패를 두려워하지 않는 태도를 가져야 합니다.,01-growth.md#FN27nl62SVU
성장을 위한,63,AADTDGBpkGo,월 수익 0원 되고 보니 가장 후회되는 것,주언규 joo earn gyu,https://www.youtube.com/watch?v=AADTDGBpkGo,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 회복·감정","월 5억 수익의 사업을 폐업하며 깨달은 가장 큰 후회는 돈을 잃은 것이 아니라, 가능성을 현실로 바꾸지 못한 망설임입니다.",01-growth.md#AADTDGBpkGo
성장을 위한,64,osllx6FCe6k,용기있게 도전하는 어른이 되는 법,드로우앤드류,https://www.youtube.com/watch?v=osllx6FCe6k,자막 기반 요약,예,ko,자동,"실행·습관, 회복·감정, 소통·관계","완벽주의와 실패에 대한 공포는 성장을 가로막는 장애물이므로, 실패를 배움의 과정으로 받아들이는 태도가 중요합니다.",01-growth.md#osllx6FCe6k
